#Parameters = {BotGroundEdgeL=10; BotGroundReduction=10; BotGroundVIAn=4; SMAGndDist=6.64; SMAPinD=0.95; antBotSubstrateH1=1.575; antBotSubstrateH2=1.575; antBotSubstrateH3=1.575; antTopSubstrateH=0.254; c=299792458; coatingPadD=1; coaxL=2; coaxSPinD=0.8; coaxSSubstrateD=2.86; coaxXPinD=0.8; coaxXSubstrateD=2.86; copperH=0.035; edgeDistance=3.5; epsilion_r_feed=2.2; feedBotSubstrateH=0.254; feedTopSubstrateH=0.254; gndViaDist=2; lineW25=1; lineW45=0.35; lineW50=0.35; lineW80=0.1; microStripW=0.7; patchSeperation=11; quaterLambdaS=26.26500424389; quaterLambdaSExtra=1; quaterLambdaX=6.5447068809152; quaterLambdaXExtra=0.6; ratio=1.3; ratioTop=1.3; sFeedGndCutoutRadius=1.43; sFeedInputL=1; sFeedInputOffset=3.6666666666667; sFeedOffset=5.5; sFeedR=0.4; sFiltLineL=0; sFiltLineW=0.4; sFiltPadCutD=3; sFiltPadD=3; sPatchL=49.75; sPatchW=12; sSeperation=3; sShift180H=5; sShift180L=8.5; sShift90H1=3.3; sShift90H2=4; sShift90L1=37; sShift90L2=13.6; screwD=1.9; size=9.8; sizeTop=8.43; substrateSize=82; substrateSizeX=29; xABot=1.3; xCenter=8.65; xFeedGndCutoutRadius=1.43; xFeedInputOffset=4.8; xFeedOffset=5.5; xFeedR=0.4; xOffsetL=4.2391304347826; xOffsetLExtra=1; xOffsetW=2.2108695652174; xOffsetWExtra=1.75; xPatchCutoutR=0.4; xPatchCutoutW=0.05; xPatchL=11.078260869565; xPatchLTop=0.095295652173913; xPatchW=8.5217391304348; xPatchWTop=0.00073304347826087; xRatio=0.95; xShift180H=2; xShift180L=5; xShift90H=2; xShift90L=8.4}
#"Frequency / GHz"	"S2,1_1 [Magnitude in dB]"
#--------------------------------------------
0.00000000000000	-75.341747361221
0.010250000283122	-75.421342222611
0.020500000566244	-75.479413283211
0.030750000849366	-75.999725299742
0.041000001132488	-75.564245753220
0.051249999552965	-74.501411928469
0.061500001698732	-76.393846242237
0.071750000119209	-76.617529328174
0.082000002264977	-73.223334887439
0.092249996960163	-75.255288836632
0.10249999910593	-79.375225724403
0.11275000125170	-72.293459201763
0.12300000339746	-73.067273346745
0.13324999809265	-85.222395007385
0.14350000023842	-71.721712639987
0.15375000238419	-70.837829503668
0.16400000452995	-87.169616167971
0.17425000667572	-71.265062372377
0.18449999392033	-68.654763608549
0.19474999606609	-77.290422127730
0.20499999821186	-70.723845560035
0.21525000035763	-66.484647406305
0.22550000250340	-71.098225449730
0.23575000464916	-69.794652624066
0.24600000679493	-64.409664956678
0.25624999403954	-66.526426925439
0.26649999618530	-67.915502962595
0.27674999833107	-62.439794259585
0.28700000047684	-62.778908329855
0.29725000262260	-64.821351167138
0.30750000476837	-60.410082675837
0.31775000691414	-59.388512274873
0.32800000905991	-60.902731433176
0.33825001120567	-58.111066193087
0.34850001335144	-56.163244948384
0.35874998569489	-56.824640784779
0.36899998784065	-55.763668651712
0.37924998998642	-53.699074113368
0.38949999213219	-53.890040627099
0.39974999427795	-54.603777082470
0.40999999642372	-53.402671874935
0.42024999856949	-53.371487470268
0.43050000071526	-55.163739545525
0.44075000286102	-54.970823060236
0.45100000500679	-54.299997281757
0.46125000715256	-56.144732654261
0.47150000929832	-56.894530459142
0.48175001144409	-55.450980090792
0.49200001358986	-56.807988851466
0.50225001573563	-58.487478814038
0.51249998807907	-56.476825244998
0.52275002002716	-57.120207098263
0.53299999237061	-59.571985237199
0.54325002431870	-57.384156917094
0.55349999666214	-57.226614073257
0.56375002861023	-60.129146415388
0.57400000095367	-58.238186181419
0.58424997329712	-57.250222685000
0.59450000524521	-60.201835322512
0.60474997758865	-59.046338390627
0.61500000953674	-57.233090095239
0.62524998188019	-59.859479091400
0.63550001382828	-59.735001621041
0.64574998617172	-57.158008554037
0.65600001811981	-59.178919901628
0.66624999046326	-60.198323500066
0.67650002241135	-57.027230410456
0.68674999475479	-58.270489414277
0.69700002670288	-60.361986581675
0.70724999904633	-56.924884887702
0.71749997138977	-57.293727389197
0.72775000333786	-60.201697003306
0.73799997568130	-57.053812376415
0.74825000762939	-56.487233227203
0.75849997997284	-59.862258381271
0.76875001192093	-58.109614990268
0.77899998426437	-56.724487411772
0.78925001621246	-61.009477486191
0.79949998855591	-66.882025587793
0.80975002050400	-65.346877256111
0.81999999284744	-76.297476348993
0.83025002479553	-59.322931780401
0.84049999713898	-57.171261692519
0.85075002908707	-59.585905963840
0.86100000143051	-55.993703137112
0.87124997377396	-53.855214028238
0.88150000572205	-55.898759516463
0.89174997806549	-54.699375737664
0.90200001001358	-52.111018881259
0.91224998235703	-53.401405064000
0.92250001430511	-53.499952385829
0.93274998664856	-50.699966482447
0.94300001859665	-51.199959670650
0.95324999094009	-51.995398885300
0.96350002288818	-49.284579351014
0.97374999523163	-49.003332416429
0.98400002717972	-49.971641776007
0.99424999952316	-47.618102257084
1.0045000314713	-46.587000096194
1.0147500038147	-47.273113514902
1.0249999761581	-45.439956599354
1.0352499485016	-43.708584460736
1.0455000400543	-43.702828875559
1.0557500123978	-42.369677633534
1.0659999847412	-39.930782552381
1.0762499570847	-38.744668926137
1.0865000486374	-38.841398301935
1.0967500209808	-40.203003742435
1.1069999933243	-42.554127469368
1.1172499656677	-40.281958979517
1.1275000572205	-36.519355060110
1.1377500295639	-34.980917332948
1.1480000019073	-34.706613588139
1.1582499742508	-34.339375220958
1.1684999465942	-34.376151516567
1.1787500381470	-35.815519482797
1.1890000104904	-37.359253940791
1.1992499828339	-37.250875285980
1.2094999551773	-38.232554135843
1.2197500467300	-40.660905787469
1.2300000190735	-40.166944460004
1.2402499914169	-40.278374559057
1.2504999637604	-43.952778884947
1.2607500553131	-43.460836248293
1.2710000276566	-42.413163701260
1.2812500000000	-47.832510395541
1.2914999723434	-43.532153399600
1.3017499446869	-40.639628000931
1.3120000362396	-43.880061636226
1.3222500085831	-38.949862526841
1.3324999809265	-35.602956208287
1.3427499532700	-38.103412405071
1.3530000448227	-33.211970394598
1.3632500171661	-26.687110875956
1.3734999895096	-24.177276651368
1.3837499618530	-24.738070379273
1.3940000534058	-28.662032633714
1.4042500257492	-39.025891940873
1.4144999980927	-41.467143018497
1.4247499704361	-36.985450969449
1.4349999427795	-34.433227703858
1.4452500343323	-31.629756139324
1.4555000066757	-31.473536998257
1.4657499790192	-34.193848437445
1.4759999513626	-36.617862814395
1.4862500429153	-35.921611384350
1.4965000152588	-37.269833838669
1.5067499876022	-40.536952825214
1.5169999599457	-40.399220297104
1.5272500514984	-40.892385690141
1.5375000238419	-44.723472136694
1.5477499961853	-46.013966820698
1.5579999685287	-46.248266300066
1.5682499408722	-51.693387556926
1.5785000324249	-50.245582583960
1.5887500047684	-45.283483030147
1.5989999771118	-40.274072198393
1.6092499494553	-36.515941409169
1.6195000410080	-35.310511426525
1.6297500133514	-36.792090210073
1.6399999856949	-40.957993621345
1.6502499580383	-44.291065266665
1.6605000495911	-43.394758173775
1.6707500219345	-44.746235773895
1.6809999942780	-48.717155976331
1.6912499666214	-47.253102495909
1.7015000581741	-45.198849324573
1.7117500305176	-46.685058465634
1.7220000028610	-47.100008991244
1.7322499752045	-43.793242640281
1.7424999475479	-43.155620085454
1.7527500391006	-43.525398892868
1.7630000114441	-40.778969003333
1.7732499837875	-38.828745036257
1.7834999561310	-38.049857799818
1.7937500476837	-35.469222140103
1.8040000200272	-32.664178419530
1.8142499923706	-31.636893037456
1.8244999647141	-32.510456678634
1.8347500562668	-34.776866460639
1.8450000286102	-37.342108607474
1.8552500009537	-39.594395846733
1.8654999732971	-41.689569852734
1.8757499456406	-42.926772562614
1.8860000371933	-44.293423594054
1.8962500095367	-46.855765128216
1.9064999818802	-49.016172004031
1.9167499542236	-52.140646991817
1.9270000457764	-51.039392258450
1.9372500181198	-45.229294247324
1.9474999904633	-43.201867055971
1.9577499628067	-43.211172510768
1.9680000543594	-42.967464735098
1.9782500267029	-42.738936121258
1.9884999990463	-43.457770066482
1.9987499713898	-43.330991453311
2.0090000629425	-42.281153742100
2.0192499160767	-42.008555022210
2.0295000076294	-41.535260311812
2.0397500991821	-40.406702465123
2.0499999523163	-39.981378034480
2.0602500438690	-40.171963517781
2.0704998970032	-40.071056296865
2.0807499885559	-40.255370140743
2.0910000801086	-41.633279861891
2.1012499332428	-43.956164149738
2.1115000247955	-46.736182053978
2.1217501163483	-51.731282448975
2.1319999694824	-64.034070665153
2.1422500610352	-56.409586913839
2.1524999141693	-53.000973275839
2.1627500057220	-49.687399132018
2.1730000972748	-47.486689686534
2.1832499504089	-47.269574566358
2.1935000419617	-46.843750806298
2.2037498950958	-45.548708176040
2.2139999866486	-45.346774060079
2.2242500782013	-45.538957859199
2.2344999313354	-44.633652859884
2.2447500228882	-44.158257789070
2.2550001144409	-44.429121051323
2.2652499675751	-43.862004638495
2.2755000591278	-43.143701639567
2.2857499122620	-43.246271541310
2.2960000038147	-42.979245338311
2.3062500953674	-42.170339463056
2.3164999485016	-42.020632981931
2.3267500400543	-41.996625473128
2.3369998931885	-41.339998177826
2.3472499847412	-41.024547065615
2.3575000762939	-41.208689903162
2.3677499294281	-40.951571366317
2.3780000209808	-40.640261874357
2.3882501125336	-40.952066318195
2.3984999656677	-41.142648199683
2.4087500572205	-40.910864375862
2.4189999103546	-41.158648047496
2.4292500019073	-41.606765185902
2.4395000934601	-41.447276272366
2.4497499465942	-41.465977005626
2.4600000381470	-41.929549265257
2.4702498912811	-41.843430008576
2.4804999828339	-41.594802553562
2.4907500743866	-41.892330807865
2.5009999275208	-41.869689900627
2.5112500190735	-41.408389869652
2.5215001106262	-41.428673849733
2.5317499637604	-41.407202393165
2.5420000553131	-40.815207149331
2.5522499084473	-40.508255710020
2.5625000000000	-40.387391048293
2.5727500915527	-39.751003387214
2.5829999446869	-39.165687855913
2.5932500362396	-38.922069242432
2.6034998893738	-38.435006115670
2.6137499809265	-37.886795045895
2.6240000724792	-37.817820756056
2.6342499256134	-37.954257292066
2.6445000171661	-38.034560017466
2.6547501087189	-38.502916262095
2.6649999618530	-39.390408180380
2.6752500534058	-40.071513859111
2.6854999065399	-40.721103006838
2.6957499980927	-41.822989017017
2.7060000896454	-42.710631402947
2.7162499427795	-43.195343837113
2.7265000343323	-44.172126022970
2.7367498874664	-45.113148146053
2.7469999790192	-45.373884903774
2.7572500705719	-46.108131975243
2.7674999237061	-47.051408798306
2.7777500152588	-47.150517544545
2.7880001068115	-47.631245833282
2.7982499599457	-48.529035187927
2.8085000514984	-48.542855671354
2.8187499046326	-48.720487048869
2.8289999961853	-49.139034174170
2.8392500877380	-48.387526008738
2.8494999408722	-46.434480306498
2.8597500324249	-43.586638172874
2.8699998855591	-41.517075392138
2.8802499771118	-41.340798646582
2.8905000686646	-42.961981537257
2.9007499217987	-44.530072338897
2.9110000133514	-44.676141125387
