#Parameters = {BotGroundEdgeL=10; BotGroundReduction=10; BotGroundVIAn=4; SMAGndDist=6.64; SMAPinD=0.95; antBotSubstrateH1=1.575; antBotSubstrateH2=1.575; antBotSubstrateH3=1.575; antTopSubstrateH=0.254; c=299792458; coatingPadD=1; coaxL=2; coaxSPinD=0.8; coaxSSubstrateD=2.86; coaxXPinD=0.8; coaxXSubstrateD=2.86; copperH=0.035; edgeDistance=3.5; epsilion_r_feed=2.2; feedBotSubstrateH=0.254; feedTopSubstrateH=0.254; gndViaDist=2; lineW25=1; lineW45=0.35; lineW50=0.35; lineW80=0.1; microStripW=0.7; patchSeperation=11; quaterLambdaS=26.26500424389; quaterLambdaSExtra=1; quaterLambdaX=6.5447068809152; quaterLambdaXExtra=0.6; ratio=1.3; ratioTop=1.3; sFeedGndCutoutRadius=1.43; sFeedInputL=1; sFeedInputOffset=3.6666666666667; sFeedOffset=5.5; sFeedR=0.4; sFiltLineL=0; sFiltLineW=0.4; sFiltPadCutD=3; sFiltPadD=3; sPatchL=49.75; sPatchW=12; sSeperation=3; sShift180H=5; sShift180L=8.5; sShift90H1=3.3; sShift90H2=4; sShift90L1=37; sShift90L2=13.6; screwD=1.9; size=9.8; sizeTop=8.43; substrateSize=82; substrateSizeX=29; xABot=1.3; xCenter=8.65; xFeedGndCutoutRadius=1.43; xFeedInputOffset=4.8; xFeedOffset=5.5; xFeedR=0.4; xOffsetL=4.2391304347826; xOffsetLExtra=1; xOffsetW=2.2108695652174; xOffsetWExtra=1.75; xPatchCutoutR=0.4; xPatchCutoutW=0.05; xPatchL=11.078260869565; xPatchLTop=0.095295652173913; xPatchW=8.5217391304348; xPatchWTop=0.00073304347826087; xRatio=0.95; xShift180H=2; xShift180L=5; xShift90H=2; xShift90L=8.4}
#"Frequency / GHz"	"S2,1 [Magnitude in dB]"
#------------------------------------------
0.00000000000000	-78.423383114780
0.010250000283122	-78.336385031432
0.020500000566244	-78.104646948944
0.030750000849366	-78.780194276827
0.041000001132488	-78.281450260661
0.051249999552965	-76.847527809913
0.061500001698732	-79.392028397436
0.071750000119209	-79.638025812488
0.082000002264977	-75.121285180169
0.092249996960163	-77.543760638872
0.10249999910593	-83.869826567465
0.11275000125170	-73.836088117294
0.12300000339746	-74.517670702973
0.13324999809265	-101.60834388222
0.14350000023842	-72.982289023895
0.15375000238419	-71.849209017796
0.16400000452995	-83.269447685646
0.17425000667572	-72.123912228425
0.18449999392033	-69.397202660751
0.19474999606609	-75.361867689272
0.20499999821186	-70.868552587249
0.21525000035763	-66.956752978935
0.22550000250340	-69.982780599434
0.23575000464916	-68.969398810202
0.24600000679493	-64.582959602754
0.25624999403954	-65.698891763657
0.26649999618530	-66.292511977342
0.27674999833107	-62.275412317604
0.28700000047684	-62.016542965991
0.29725000262260	-62.911821461207
0.30750000476837	-59.845654924567
0.31775000691414	-58.571306556233
0.32800000905991	-59.064151487492
0.33825001120567	-57.170264904308
0.34850001335144	-55.380127980447
0.35874998569489	-55.437092808393
0.36899998784065	-54.946757285313
0.37924998998642	-53.578105104803
0.38949999213219	-53.688720839167
0.39974999427795	-54.656668331199
0.40999999642372	-54.239421147159
0.42024999856949	-54.215796314879
0.43050000071526	-55.758995335964
0.44075000286102	-56.044746932156
0.45100000500679	-55.463513664144
0.46125000715256	-56.846609188808
0.47150000929832	-57.737748300398
0.48175001144409	-56.607243654900
0.49200001358986	-57.509700767660
0.50225001573563	-58.958356030248
0.51249998807907	-57.522315610697
0.52275002002716	-57.821964397666
0.53299999237061	-59.697988180470
0.54325002431870	-58.299215601787
0.55349999666214	-57.965154545946
0.56375002861023	-60.051123674309
0.57400000095367	-59.025171190527
0.58424997329712	-58.063061854283
0.59450000524521	-60.092575492475
0.60474997758865	-59.675676200389
0.61500000953674	-58.118368876188
0.62524998188019	-59.828807665082
0.63550001382828	-60.118617298026
0.64574998617172	-58.063820323413
0.65600001811981	-59.249056949980
0.66624999046326	-60.229641704956
0.67650002241135	-57.894082877637
0.68674999475479	-58.436786388737
0.69700002670288	-60.009730936394
0.70724999904633	-57.750060885316
0.71749997138977	-57.609772021389
0.72775000333786	-59.630064313385
0.73799997568130	-58.036531267720
0.74825000762939	-57.308903491657
0.75849997997284	-59.964426643532
0.76875001192093	-61.373085018065
0.77899998426437	-62.067231003245
0.78925001621246	-75.171593496588
0.79949998855591	-63.888069416067
0.80975002050400	-60.122288226555
0.81999999284744	-60.767968222636
0.83025002479553	-57.410641422217
0.84049999713898	-55.578697142911
0.85075002908707	-56.832185201331
0.86100000143051	-55.636632510656
0.87124997377396	-53.626664282826
0.88150000572205	-54.446025823002
0.89174997806549	-54.230128739965
0.90200001001358	-52.105675406513
0.91224998235703	-52.372849778517
0.92250001430511	-52.717807140991
0.93274998664856	-50.665861692778
0.94300001859665	-50.364360693846
0.95324999094009	-50.923776875715
0.96350002288818	-49.093238738623
0.97374999523163	-48.225030293134
0.98400002717972	-48.673171469201
0.99424999952316	-47.140025347835
1.0045000314713	-45.728645087823
1.0147500038147	-45.786067109737
1.0249999761581	-44.546738168518
1.0352499485016	-42.640981580761
1.0455000400543	-42.072625522134
1.0557500123978	-41.052186595853
1.0659999847412	-38.716063178389
1.0762499570847	-37.461060267861
1.0865000486374	-38.138080203769
1.0967500209808	-39.743178204809
1.1069999933243	-38.861229790425
1.1172499656677	-36.446823372630
1.1275000572205	-35.150272289691
1.1377500295639	-35.296299419619
1.1480000019073	-36.378127651526
